Race,Gender,Education,Education-Mother,Education-Father,Self-Subjective,2010SOC,2018SOC,2019ONetSOC,Self-Objective,familarity
3,2,6,5,5,3,53-7064,53-7064,53-7064.00,5.75,2
5,1,6,6,8,6,47-2221,47-2221,47-2221.00,4.1,2
3,2,6,8,9,1,41-2010,41-2011,41-2011.00,5.758620689655173,2
3,2,10,6,6,1,11-3011,11-3012,11-3012.00,4.222222222222222,3
5,2,8,4,6,4,43-9199,43-9199,43-9199.00,5.642857142857143,5
5,2,9,6,6,2,25-9041,25-9042,25-9042.00,3.9,2
5,1,10,11,6,1,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,1,11,6,6,6,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,6,5,6,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,11,6,8,3,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,9,,,6,31-9093,31-9093,31-9093.00,4.8125,2
5,2,9,6,9,1,31-1010,31-1121,31-1121.00,3.8,2
5,1,9,11,11,1,53-7199,53-7199,53-7199.00,5.315789473684211,2
5,2,9,6,6,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,2,7,8,6,2,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,9,12,7,4,27-3090,27-3091,27-3091.00,4.352941176470588,3
6,1,6,4,1,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
6,2,10,10,,5,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,6,6,6,2,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,1,8,9,8,3,37-2012,37-2012,37-2012.00,4.84,2
6,1,7,7,14,4,41-3099,41-3091,41-3091.00,5.2,3
5,2,8,9,6,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
3,2,11,13,9,7,15-1199,15-1299,15-1299.00,4.7565844967921045,5.444444444444445
6,2,9,9,6,1,27-3090,27-3091,27-3091.00,4.352941176470588,3
5,2,12,11,12,2,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,12,6,9,7,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,9,10,9,1,11-9111,11-9111,11-9111.00,3.944444444444445,3
5,1,11,4,8,7,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,2,9,12,12,6,15-1131,15-1251,15-1251.00,5,6
5,1,11,9,12,4,51-5113,51-5113,51-5113.00,4.884615384615385,2
5,2,11,11,11,3,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,11,12,12,7,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,8,6,6,7,19-2040,19-2041,19-2041.00,4.090909090909091,3
5,2,11,11,11,7,35-3022,35-3023,35-3023.00,5.464285714285714,2
5,1,9,6,6,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,10,6,6,4,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,1,12,9,11,3,15-1132,15-1252,15-1252.00,4.631578947368421,6
3,2,6,4,7,7,35-9031,35-9031,35-9031.00,4.590909090909091,2
5,2,12,11,11,5,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,12,10,11,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,11,11,11,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,12,11,11,7,29-2090,29-2091,29-2091.00,3.2,2
5,1,12,11,12,6,29-2071,29-2072,29-2072.00,5.882352941176471,3
5,2,11,9,6,1,25-9011,25-4022,25-4022.00,4.366666666666666,3
3,2,12,6,6,5,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,6,6,5,1,31-1010,31-1121,31-1121.00,3.8,2
5,1,13,11,13,1,31-9093,31-9093,31-9093.00,4.8125,2
5,1,14,13,13,3,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,1,11,6,6,1,33-1021,33-1021,33-1021.00,3.633333333333333,2
5,1,11,11,11,6,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,2,8,6,6,1,21-1093,21-1093,21-1093.00,4.05,2
5,2,10,6,12,4,11-3051,11-3051,11-3051.00,4.666666666666667,4
5,1,11,11,9,1,11-9041,11-9041,11-9041.00,3.476190476190476,5
5,2,6,6,6,1,37-3019,37-3019,37-3019.00,4.264102564102564,2
5,2,11,5,8,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,11,6,9,6,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,2,9,13,9,5,13-1111,13-1111,13-1111.00,4.181818181818182,5
5,1,12,13,13,7,11-3121,11-3121,11-3121.00,4.230769230769231,3
3,1,6,6,6,5,37-2011,37-2011,37-2011.00,5.173913043478261,2
5,1,11,6,12,2,27-2020,27-2021,27-2021.00,2.222222222222222,2
5,1,12,7,8,5,13-1131,13-1131,13-1131.00,4.214285714285714,2
6,2,12,10,10,5,37-1012,37-1012,37-1012.00,4.357142857142857,2
5,1,12,12,12,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,12,11,11,5,11-1011,11-1011,11-1011.03,3.611111111111111,4
3,2,11,12,12,7,51-4192,51-4192,51-4192.00,4.642857142857143,2
6,1,14,13,12,6,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,1,11,11,14,6,19-4090,19-4042,19-4042.00,4.923076923076923,3
5,2,11,6,6,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,6,6,6,3,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,11,9,7,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,12,11,11,2,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,12,12,13,1,31-1010,31-1121,31-1121.00,3.8,2
5,1,12,11,11,5,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,12,12,12,6,11-1011,11-1011,11-1011.03,3.611111111111111,4
3,1,6,10,10,1,51-1011,51-1011,51-1011.00,4.7,3
5,1,12,12,12,4,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,1,14,13,14,3,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,1,11,12,13,7,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,9,6,10,5,13-2052,13-2052,13-2052.00,4.666666666666667,3
3,1,12,10,6,4,11-1011,11-1011,11-1011.03,3.611111111111111,4
6,1,9,6,6,1,47-2080,47-2081,47-2081.00,3.615384615384615,2
5,2,9,12,,7,45-4011,45-4011,45-4011.00,4.157894736842105,2
5,2,6,11,11,3,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,1,11,10,11,4,11-1011,11-1011,11-1011.03,3.611111111111111,4
6,2,10,8,11,5,41-3099,41-3091,41-3091.00,5.2,3
5,2,12,11,12,7,11-3021,11-3021,11-3021.00,4.058823529411764,6
3,2,6,6,6,6,11-9013,11-9013,11-9013.00,4.566666666666666,2
5,1,13,11,13,5,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,11,11,10,2,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,1,14,2,6,6,47-2061,47-2061,47-2061.00,4.125,2
5,1,11,11,11,7,39-1021,39-1014,39-1014.00,3.789473684210526,2
2,2,9,6,,4,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,8,8,5,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,8,5,1,6,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,6,6,7,7,11-9081,11-9081,11-9081.00,4.583333333333333,2
5,2,9,11,6,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,10,11,12,1,29-2030,29-2031,29-2031.00,4.64,3
5,2,4,1,11,7,41-2031,41-2031,41-2031.00,5.583333333333333,2
6,1,8,8,9,6,49-9051,49-9051,49-9051.00,3.913043478,2
5,1,6,6,6,6,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,6,6,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,9,6,6,1,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,11,12,12,1,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,1,8,5,5,6,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,12,14,5,11-3021,11-3021,11-3021.00,4.058823529411764,6
5,2,6,6,6,4,41-3099,41-3091,41-3091.00,5.2,3
5,1,11,11,12,1,13-2051,13-2051,13-2051.00,4.846153846153846,5
5,1,11,6,6,3,15-1132,15-1252,15-1252.00,4.631578947368421,6
6,2,6,6,7,2,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,9,6,6,5,43-4161,43-4161,43-4161.00,5.631578947368421,2
5,2,11,10,11,4,29-1060,29-1211,29-1211.00,3.666666666666667,3
6,1,7,2,2,6,11-1031,11-1031,11-1031.00,2.866666666666667,3
5,2,11,6,9,1,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,1,6,6,6,3,31-2020,31-2021,31-2021.00,3.523809523809524,2
5,1,7,6,7,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,10,6,6,4,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,1,8,,,5,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,1,6,6,6,4,15-1111,15-1221,15-1221.00,3.866666666666667,7
5,2,8,7,12,1,53-6099,53-6099,53-6099.00,5.192724867724867,2.111111111111111
5,1,11,11,10,5,43-5061,43-5061,43-5061.00,5.470588235294118,3
6,2,10,6,6,5,43-3021,43-3021,43-3021.00,6,2
5,2,11,6,9,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,13,6,6,4,23-1020,23-1021,23-1021.00,4.285714285714286,2
5,1,11,6,6,5,41-1011,41-1011,41-1011.00,4.571428571428571,2
2,1,11,6,11,1,17-2070,17-2071,17-2071.00,4.391304347826087,5
5,2,11,11,14,1,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,3,7,6,5,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
6,1,12,12,12,6,13-1022,13-1022,13-1022.00,4.9,3
5,1,11,6,10,5,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,2,8,10,10,5,41-3099,41-3091,41-3091.00,5.2,3
5,1,12,10,9,5,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,8,10,6,4,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,6,6,6,5,51-2090,51-2051,51-2051.00,4.8125,2
5,1,7,,,2,41-1011,41-1011,41-1011.00,4.571428571428571,2
3,1,8,9,5,3,49-9052,49-9052,49-9052.00,3.95,2
5,2,9,10,10,4,27-1010,27-1011,27-1011.00,3.625,3
5,2,6,6,6,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,10,1,1,1,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,1,6,6,5,1,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,2,11,4,4,5,25-2030,25-2031,25-2031.00,3.0625,3
5,2,7,7,8,4,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,10,5,6,1,43-4051,43-4051,43-4051.00,5.066666666666666,2
3,2,6,6,10,3,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,9,8,6,7,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,12,10,7,7,25-9011,25-4022,25-4022.00,4.366666666666666,3
